startup_name,sector,city,amount_usd,investment_type,investors,date
HolaChef,Consumer Internet,Mumbai,3000000.0,Private Equity,"SIDBI Venture Capital Ltd, Kalaari Capital",20/04/2017
Wooplr,eCommerce,Bangalore,,Private Equity,Ankit Nagori,20/04/2017
Video Ken,Consumer Internet,Bangalore,1000000.0,Seed Funding,"Ravi Garikipati, Surot Chatterjee, Ashish Agrawal, LG Chandrasekhar, Sashi Reddi",21/04/2017
Faasos,Food & Beverage,Pune,6300000.0,Private Equity,"Ligthbox Ventures II, Lightbox Expansion Fund, Sequoia Capital India, RuNet South Asia, RB Investments",24/04/2017
Oyo Rooms,Consumer Internet,Gurgaon,250000000.0,Private Equity,"SoftBank Vision Fund, Lightspeed Venture Partners, Sequoia Capital India Advisors, Greenoaks Capital Partners",24/04/2017
Toppr,Consumer Internet,Mumbai,3200000.0,Private Equity,WGG International,24/04/2017
Niramai,Healthcare,Bangalore,,Seed Funding,"pi Ventures, Axilor Ventures, 500 Startups, Binny Bansal",24/04/2017
The Office Pass,Consumer Internet,Gurgaon,245000.0,Seed Funding,"Arun Tadanki, Aditya Verma",25/04/2017
UrbanClap,Consumer Internet,Gurgaon,3100000.0,Private Equity,Trifecta Capital,25/04/2017
Awfis,Consumer Internet,Mumbai,20000000.0,Private Equity,Sequoia India,26/04/2017
Myra,Consumer Internet,Bangalore,,Private Equity,"Times Internet,Matrix Partners",26/04/2017
Flytxt,Technology,Mumbai,11000000.0,Private Equity,DAH Beteiligungs GmbH,26/04/2017
Howdy Ventures,Consumer Internet,Chennai,1500000.0,Seed Funding,S. Xavier Britto,26/04/2017
StalkBuyLove,eCommerce,Delhi,1000000.0,Private Equity,Trifecta Capital,26/04/2017
ZipGo,Consumer Internet,Bangalore,,Private Equity,"Orios Ventures Partners, Team Builder Ventures, Omidyar Networks",26/04/2017
Scootsy,Consumer Internet,Mumbai,3600000.0,Private Equity,"Agnus Capital, Khattar Holdings",27/04/2017
Autobix,Technology,Pune,,Seed Funding,GardX International,27/04/2017
eShiksha,Technology,Jaipur,,Seed Funding,Cross Border Angels & Experts,27/04/2017
iNurture,Consumer Internet,Bangalore,1500000.0,Private Equity,BlackSoil Capital Pvt. Ltd,27/04/2017
Sepalika,Consumer Internet,Delhi,750000.0,Seed Funding,Accel Partners,28/04/2017
Mintwalk,Consumer Internet,Mumbai,,Seed Funding,Poshika Financial Ecosystem,28/04/2017
Qriyo,Consumer Internet,Jaipur,,Private Equity,NB Ventures,29/04/2017
Ola,Consumer Internet,Bangalore,330000000.0,Private Equity,SoftBank Group Corp,01/03/2017
Belong,Consumer Internet,Bangalore,10000000.0,Private Equity,Sequoia Capital India,01/03/2017
Seenit,Consumer Internet,Kolkata,,Seed Funding,"Calcutta Angels Network (CAN), Augment Ventures",01/03/2017
Paalak,ECommerce,Delhi,,Seed Funding,"Vishwadeep Bajaj, Harsh Kundra, Nandkumar Rane, LN Buddharaju, Anupam Tyagi",01/03/2017
Celes Care,Consumer Internet,Hyderabad,1500000.0,Private Equity,"Ventureast, Endiya Partners, Eight Roads Ventures, F-Prime Capital Partners",02/03/2017
Karomi,Technology,Chennai,500000.0,Seed Funding,Ideaspring Capital,02/03/2017
Red Carpet,Consumer Internet,Gurgaon,2500000.0,Private Equity,Lightspeed Venture Partners,02/03/2017
Kreate Konnect,Technology,Vadodara,,Seed Funding,Langoor,02/03/2017
CreditMantri,Consumer Internet,Chennai,7600000.0,Private Equity,Quona Capital,02/03/2017
Lets Endorse,Consumer Internet,Bangalore,,Seed Funding,"Chandigarh Angels Network, Social Alpha and other unnamed angel investors",03/03/2017
Tydy,Technology,Bangalore,275000.0,Seed Funding,"Bhupen Shah, Jayesh Parekh, Sanjay Sathe",03/03/2017
Nactus,Consumer Internet,Jaipur,,Seed Funding,"Sandeep Aggarwal, Gautam Chhaochharia, R Balachandar",03/03/2017
Oho Shop,Technology,Ahmedabad,6700000.0,Private Equity,"Bennett, Coleman and Company Ltd",03/03/2017
Emojifi,Consumer Internet,Hyderabad,,Seed Funding,Undisclosed angel investors,03/03/2017
Paytm Marketplace,ECommerce,Bangalore,200000000.0,Private Equity,Alibaba,03/03/2017
iGenetics,Healthcare,Mumbai,19500000.0,Private Equity,CDC Group Plc,04/03/2017
Juno Clinic,Consumer Internet,Mumbai,1200000.0,Seed Funding,Atul Nishar,06/03/2017
Summerlabel,Consumer Internet,Gurgaon,150000.0,Seed Funding,"Aneesh Seth, Tushar Mittal",06/03/2017
PickMe,Consumer Internet,Mumbai,1790000.0,Private Equity,SIDBI Venture Capital Fund,06/03/2017
Agrostar,Technology,Pune,10000000.0,Private Equity,Accel Partners,07/03/2017
Zapr,Technology,Bangalore,10000000.0,Private Equity,Star India Pvt Ltd,07/03/2017
Data Resolve,Technology,Noida,1000000.0,Private Equity,IDFC Parampara Early Stage Opportunities Fund,07/03/2017
Book Servicing,Consumer Internet,Delhi,30000.0,Seed Funding,National Science and Technology Entrepreneurship Development Board,07/03/2017
Blowhorn,Consumer Internet,Bangalore,3650000.0,Private Equity,"IDG Ventures India, Michael & Susan Dell Foundation, Draper Associates, Unitus Seed Fund",07/03/2017
Rivigo,Logistics,Gurgaon,15000000.0,Private Equity,Private Sector Banks (Debt Funding),08/03/2017
PipeCandy,Technology,Chennai,1100000.0,Seed Funding,"IDG ventures, Axilor Ventures, Emergent Ventures, Indian Angel Network",08/03/2017
Supr Daily,Consumer Internet,Mumbai,120000.0,Seed Funding,Y Combinator,08/03/2017
Parentune,Consumer Internet,Gurgaon,,Private Equity,"Kae Capital, SEGNEL Ventures",08/03/2017
AppBrowzer,Consumer Internet,Bangalore,500000.0,Seed Funding,Deepak Gurnani,09/03/2017
MagicBricks,Consumer Internet,Mumbai,4500000.0,Private Equity,Times Internet Ltd,09/03/2017
PeeBuddy,Healthcare,Delhi,443000.0,Seed Funding,Indian Angel Network,10/03/2017
iOrderFresh,ECommerce,Delhi,,Seed Funding,Singapore Angel Network,10/03/2017
Lavelle Networks,Technology,Bangalore,600000.0,Seed Funding,Ideaspring Capital,10/03/2017
PropertyShare,Consumer Internet,Bangalore,,Seed Funding,"Asuka, Pravega Ventures, BEENEXT",10/03/2017
MyDermacy,Consumer Internet,Delhi,,Private Equity,Cyber Carrier,14/03/2017
LatestOne,eCommerce,Hyderabad,3350000.0,Private Equity,"Florintree, Mathew Cyriac, Chidambaram Palaniappan, Bharat Sheth",15/03/2017
Frapperz,Consumer Internet,Kolkata,100000.0,Seed Funding,Undisclosed Investor,15/03/2017
mPaani,Consumer Internet,Mumbai,1350000.0,Private Equity,"IDG Ventures, Blume Ventures, Saha Fund,",16/03/2017
ShilpMIS,Technology,Surat,,Seed Funding,"Puneet Gupta, Nimitt Desai & Others",16/03/2017
POPxo,Consumer Internet,Delhi,3100000.0,Private Equity,"GREE Ventures, Kalaari Capital and IDG Ventures India, Summit Media, Atul Goel, and Gurpreet Singh",16/03/2017
Fitso,Consumer Internet,Gurgaon,200000.0,Seed Funding,"Sujeet Kumar, Bhupender Singh, Yashish Dhaiya",16/03/2017
FarMart,Technology,Gurgaon,,Seed Funding,Indian Angel Network,17/03/2017
Flipkart,eCommerce,Bangalore,1400000000.0,Private Equity,"Microsoft, eBay, Tencent Holdings",21/03/2017
Airpay,Technology,Mumbai,3670000.0,Private Equity,"Kalaari Capital, Rakesh and Rajesh Jhunjhunwala",21/03/2017
MyGlamm,Consumer Internet,Mumbai,5300000.0,Private Equity,L\\xe2\\x80\\x99Occitane,21/03/2017
The Mons Co.,eCommerce,Delhi,,Seed Funding,"Shripad Nadkarni, Nandu Nandkishore",22/03/2017
Haqdarshak,Consumer Internet,Bangalore,191000.0,Seed Funding,"Ravi Saxena, Sandeep Raju,",22/03/2017
Ixigo,Consumer Internet,Gurgaon,15000000.0,Private Equity,"Sequoia Capital, Kinzon Capital",23/03/2017
Markets and Markets,Technology,Pune,56000000.0,Private Equity,"FTV Capital, Zodius Capital",23/03/2017
Bizom,Technology,Bangalore,382000.0,Seed Funding,Ojas Ventures,24/03/2017
BabyonBoard,Consumer Internet,Bangalore,,Seed Funding,"Mahavir Sharma, Vishal Jain, Rohit Sethi, Gaurav Luniya",24/03/2017
Delhivery,Technology,Delhi,100000000.0,Private Equity,"Carlyle Group, Tiger Global",24/03/2017
Sport Flashes,Consumer Internet,Delhi,,Seed Funding,"Vikas Bajaj, Amit Kharbanda,",27/03/2017
Wigzo,Technology,Delhi,,Private Equity,3one4 capital,28/03/2017
DoneThing,Consumer Internet,Gurgaon,300000.0,Private Equity,Brand Capital,28/03/2017
Zapyle,ECommerce,Bangalore,,Seed Funding,Undisclosed Investors,29/03/2017
Ithaka,Consumer Internet,Mumbai,325000.0,Seed Funding,"Ankit Gupta, Puneet Motihar",29/03/2017
perpule,eCommerce,Bangalore,650000.0,Seed Funding,KStart Capital,29/03/2017
Byju\\xe2\\x80\\x99s,Consumer Internet,Bangalore,,Private Equity,Verlinvest,29/03/2017
Licious,ECommerce,Bangalore,10000000.0,Private Equity,"Mayfield India, 3one4 Capital, Sistema Asia Fund, Neoplux Technology Fund",29/03/2017
Medinfi,Consumer Internet,Bangalore,50000.0,Seed Funding,"Vinod Martin, Hemant Kaul, Prof. Ram Kumar Kakani & Others",29/03/2017
Indus OS,Technology,Mumbai,,Private Equity,"JSW Ventures, VenturEast",30/03/2017
Emflux Motors,Technology,Bangalore,,Seed Funding,"Meher Roy, Nikhil Arora, Meet Kanodia, Krit Sankalp, Nitish Singh, Risabh Gupta",30/03/2017
Klinic App,Consumer Internet,Gurgaon,,Seed Funding,Om Chaudhry,30/03/2017
Jhakaas,Consumer Internet,Mumbai,155000.0,Seed Funding,"Malini Patel, Stelcore Management Services, Anjani Prasad",31/03/2017
Oriano Solar,Technology,Mumbai,3000000.0,Private Equity,Samridhi Fund,31/03/2017
BigBasket,ECommerce,Bangalore,7000000.0,Private Equity,Trifecta Capital,31/03/2017
Rooter,Consumer Internet,Delhi,,Private Equity,Intex Technologies,31/03/2017
FalconBrick,Technology,Bangalore,,Seed Funding,"Satveer Thakral, LetsVenture, Mumbai Angels",31/03/2017
Icertis,Technology,Pune,25000000.0,Private Equity,"B Capital Group, Ignition Partners, Greycroft, e.ventures,\\xc2\\xa0 Eight Roads Ventures",31/03/2017
Clodura,Technology,Pune,,Seed Funding,Undisclosed Investors,02/02/2017
Stockroom.io,Consumer Internet,Hyderabad,,Seed Funding,"Satya D Sinha, Gyanendra Singh",03/02/2017
Capital Float,Consumer Internet,Bangalore,2500000.0,Private Equity,IFMR Capital Finance,06/02/2017
iManageMyHotel,Technology,Kolkata,,Seed Funding,Jaarvis Accelerator,06/02/2017
Inner Hour,Consumer Internet,Mumbai,450000.0,Seed Funding,"Batlivala & Karani Securities, Venture Works",07/02/2017
Travel Triangle,Consumer Internet,Noida,10000000.0,Private Equity,"RB Investments, SAIF Partners, Bessemer Venture Partners",07/02/2017
Wandertrails,Consumer Internet,Bangalore,1000000.0,Seed Funding,Earlsfield Capital,08/02/2017
Zenatix,Technology,Gurgaon,1200000.0,Private Equity,"pi Ventures, Blume Ventures",08/02/2017
Cartrade,Consumer Internet,Mumbai,55000000.0,Private Equity,Temasek Holdings,08/02/2017
MindYourFleet,Technology,Noida,,Seed Funding,"Japan Vyas, Tarun Adlakha",08/02/2017
Edurev,Consumer Internet,Gurgaon,40000.0,Seed Funding,Facebook FB Start programme,08/02/2017
Voonik,ECommerce,Bangalore,6000000.0,Private Equity,"RB Investments, Sequoia Capital",09/02/2017
1Crowd,Finance,Mumbai,,Seed Funding,Ganesh Natarajan,09/02/2017
Wooplr,ECommerce,Bangalore,8000000.0,Private Equity,"Sistema Asia Fund, Amereus Group, Helion Ventures",09/02/2017
48East,ECommerce,Bangalore,500000.0,Private Equity,Al Dhaheri family,10/02/2017
Redesyn,Consumer Internet,Mumbai,,Seed Funding,ThinQbate,10/02/2017
Sigtuple,Technology,Bangalore,5800000.0,Private Equity,"Accel Partners, IDG Ventures, Endiya Partners, pi Ventures, VH Capital, Axilor Partners",13/02/2017
Flutura,Technology,Bangalore,7500000.0,Private Equity,"Vertex Ventures, Lumis Partners",13/02/2017
Wassup,Consumer Internet,Chennai,3200000.0,Private Equity,Anil Jain & other HNIs,13/02/2017
Better Mortgage,Consumer Internet,Gurgaon,15000000.0,Private Equity,"Kleiner Perkins, Goldman Sachs, Pine Brook",13/02/2017
Nurturey,Consumer Internet,Delhi,330000.0,Seed Funding,Mohit Joshi & Others,13/02/2017
Fyle,Technology,Bangalore,400000.0,Seed Funding,Pravega Ventures,13/02/2017
GoBumpr,Consumer Internet,Chennai,300000.0,Seed Funding,"Mahalingam K, Girish Mathrubootham",14/02/2017
CCAvenue,Consumer Internet,Mumbai,22400000.0,Private Equity,Infibeam,14/02/2017
Connaizen,Technology,Delhi,,Seed Funding,Vikram Sud,14/02/2017
Innov8,Consumer Internet,Delhi,,Seed Funding,"Vijay Shekhar Sharma, Rajan Anandan, Kunal Shah, Girish Mathrubootham, Punit Soni, Anand Chandrasekaran, Sunil Kalra, Utsav Somani, Vishal Gondal, Vikram Limaye",15/02/2017
ZestMoney,Consumer Internet,Bangalore,6500000.0,Private Equity,"PayU, Ribbit Capital, Omidyar Network",15/02/2017
AirZaar,Technology,Missourie,350000.0,Seed Funding,Quake Capital,15/02/2017
Truebil,Consumer Internet,Mumbai,3000000.0,Private Equity,Shunwei Capital,16/02/2017
YourStory,Consumer Internet,Bangalore,3000000.0,Private Equity,"Kalaari Capital Partners, Qualcomm, 3ONE4 Capital Advisors, UC-RNT",16/02/2017
Imaginate,Technology,Hyderabad,500000.0,Seed Funding,SRI Capital,17/02/2017
The Ken,Consumer Internet,Bangalore,400000.0,Seed Funding,"Aprameya Radhakrishna, Deepak Natraj, Girish Mathrubootham, Mahesh Murthy, Pallav Nadhani, Pavan Ongole, Sandeep Mathur, Vijay Shekhar Sharma & Others",17/02/2017
Urban Ladder,ECommerce,Bangalore,15200000.0,Private Equity,"Kalaari Capital, SAIF Partners, Steadview Capital, Sequoia Capital",17/02/2017
Aisle,Consumer Internet,Bangalore,,Seed Funding,"Konglo Ventures, White Unicorn Ventures, LetsVenture",17/02/2017
TownScript,Consumer Internet,Pune,,Private Equity,BookMyShow,17/02/2017
Leopetra,eCommerce,Mumbai,40000.0,Seed Funding,Facebook FBStart,17/02/2017
Blood n Care,Consumer Internet,Gurgaon,40000.0,Seed Funding,Facebook FBStart,18/02/2017
Flipkart,eCommerce,Bangalore,38700000.0,Private Equity,"Bennett, Coleman and Co. Ltd (BCCL)",20/02/2017
True Balance,Consumer Internet,Gurgaon,15000000.0,Private Equity,"Softbank Ventures Korea, IMM Investment",21/02/2017
Vebbler,Consumer Internet,Bangalore,40000.0,Seed Funding,Facebook FBStart,22/02/2017
Get My Parking,Consumer Internet,Delhi,1100000.0,Private Equity,"Indian Angel Network (IAN), BEENEXT, The Chennai Angels, Sunil Munjal",23/02/2017
Lets Reap,Consumer Internet,Mumbai,,Seed Funding,"Kunal Shah, Sandeep Tandon, Nitin Saluja, Gagan Goyal",23/02/2017
Oglas,Consumer Internet,Noida,,Seed Funding,"Pankaj Rungta, Yogesh Agarwal",24/02/2017
Staydobe,Consumer Internet,Bangalore,,Seed Funding,Ishan Manaktala,27/02/2017
Biryani By Kilo,Consumer Internet,Gurgaon,375000.0,Seed Funding,"Chandigarh Angels, Ashish Gupta, Rohit, Ashish Chand, Sunil Singh & Others",27/02/2017
Johari Shop,ECommerce,Bangalore,94000.0,Seed Funding,Undisclosed Investors,27/02/2017
NeoStencil,Consumer Internet,Delhi,1000000.0,Private Equity,"Brand Capital, Paragon Trust",28/02/2017
Blackbuck,Logistics,Bangalore,70000000.0,Private Equity,"Sands Capital, IFC, Accel Partners, Flipkart, Sanjiv Rangrass",28/02/2017
TaxSutra,Consumer Internet,Pune,366000.0,Seed Funding,"TV Mohandas Pai, V Balakrishnan, PV Srinivasan",02/01/2017
TempoGo,Technology,Panaji,825000.0,Seed Funding,K2 Capital,03/01/2017
GoFynd,ecommerce,Mumbai,,Seed Funding,"Anand Chandrasekaran, Rajiv Mehta, Ramakant Sharma",03/01/2017
Vow Car Clinic,Consumer Internet,Gurgaon,,Seed Funding,Vishal Malik,03/01/2017
LearnTron,Technology,Chennai,,Seed Funding,Kae Capital,04/01/2017
MobiDent,Consumer Internet,Bangalore,,Private Equity,DanGold Investment Corp,05/01/2017
Yostra,Technology,Bangalore,,Private Equity,"Marico Innovation Foundation (MIF), Villgro",05/01/2017
Leap India,Logistics,Mumbai,13000000.0,Private Equity,"India Nivesh Growth Fund, Sixth Sense, TCI Ventures",06/01/2017
FreeCharge,Consumer Internet,Mumbai,57000000.0,Private Equity,Jasper Infotech Pvt Ltd,07/01/2017
TicketNew,Consumer Internet,Chennai,35000000.0,Private Equity,Alibaba Pictures,09/01/2017
Intelligence Node,Technology,Mumbai,800000.0,Private Equity,BlackSoil Capital Pvt Ltd,10/01/2017
Securens,Technology,Mumbai,5000000.0,Private Equity,"Mayfield India, Trifecta Capital",10/01/2017
Loan Frame,Consumer Internet,Gurgaon,2250000.0,Private Equity,"Vedanta Capital, William Campbell, Toos N Daruvala",10/01/2017
DriveSkool,Consumer Internet,Bangalore,,Seed Funding,Aavya Ventures,10/01/2017
Medinfi,Consumer Internet,Bangalore,100000.0,Seed Funding,"Vinod Martin, Evan Lim, Kanchan Ghoshal, Ram Kumar Kakani",10/01/2017
LensKart,eCommerce,Bangalore,3500000.0,Private Equity,Ronnie Screwvala,10/01/2017
InstaOffice,Consumer Internet,Gurgaon,,Seed Funding,"Zishaan Hayath, Karan Chellani, Mohit Satyan",11/01/2017
Hansel.io,Consumer Internet,Bangalore,1350000.0,Private Equity,"IDG Ventures, Endiya Partners",12/01/2017
Square Yards,Consumer Internet,Gurgaon,10000000.0,Private Equity,"Lohia Group, Andre Hoffman",12/01/2017
Roambee,Technology,Mumbai,4100000.0,Private Equity,Deutsche Telekom Strategic Investments & Others,13/01/2017
PaisaWapas,Consumer Internet,Bangalore,,Seed Funding,Vividhity Ventures,13/01/2017
iService,Consumer Internet,Bangalore,440000.0,Seed Funding,"Blume Ventures, Girish Mathrubootham, Aprameya Radhakrishna",13/01/2017
Unacademy,Consumer Internet,Bangalore,4500000.0,Private Equity,"Nexus Venture Partners, Blume Ventures",14/01/2017
SecururAX,Technology,Bangalore,,Private Equity,"Axilor Ventures, Parampara Early Stage Opportunities Fund & Others",14/01/2017
Leadburg,Consumer Internet,Bangalore,,Seed Funding,"Harsh V. Pant, Ratheesh Raveendran",16/01/2017
ZoloStays,Consumer Internet,Bangalore,5000000.0,Private Equity,"Nexus Venture Partners, Innoven Capital",16/01/2017
Oi Media,Technology,Delhi,,Seed Funding,Quarizon,16/01/2017
HipCouch,Consumer Internet,Mumbai,700000.0,Seed Funding,Undisclosed Investors,16/01/2017
Curiositi,Consumer Internet,Bangalore,800000.0,Private Equity,"Menterra Social Impact Fund, Unitus Seed Fund",17/01/2017
TinyStep,Consumer Internet,Bangalore,2000000.0,Private Equity,Flipkart,17/01/2017
Practo,Consumer Internet,Bangalore,55000000.0,Private Equity,"Tencent,\\xc2\\xa0 ru-Net, RSI Fund, Thrive Capital",17/01/2017
Ketchupp,Consumer Internet,Delhi,441000.0,Seed Funding,India Quotient and others,17/01/2017
Hoopy,Consumer Internet,Gwalior,500000.0,Seed Funding,undisclosed investors,17/01/2017
Ezytruk,Consumer Internet,Bangalore,147000.0,Seed Funding,"Ajith Nair, Anish K",17/01/2017
Kratikal,Technology,Delhi,,Seed Funding,"Amajit Gupta, Praveen Dubey, J.P. Bhatt",18/01/2017
Direct Create,eCommerce,Gurgaon,,Seed Funding,Rajasthan Venture Capital Fund,18/01/2017
Vahdam Teas,eCommerce,Delhi,650000.0,Seed Funding,"Mumbai Angels Network, Fireside Ventures, Singapore Angel Network",18/01/2017
Qwikspec,Technology,Bangalore,300000.0,Seed Funding,Undisclosed Investors,18/01/2017
PParke,Consumer Internet,Bangalore,,Seed Funding,SB Ventures,19/01/2017
Weddingz.in,Consumer Internet,Mumbai,1000000.0,Private Equity,Singularity Ventures,19/01/2017
Native Special,eCommerce,Karur,,Seed Funding,"Indian Angel Network, Native Angels Network",19/01/2017
Fitnapp,Consumer Internet,Noida,,Private Equity,SD Group,19/01/2017
Ethosh,Technology,Pune,,Seed Funding,Deepak Nathani,20/01/2017
MessaGif,Consumer Internet,Delhi,50000.0,Seed Funding,Undisclosed investor,22/01/2017
SmartHi,Technology,Pune,,Seed Funding,Singapore based investor,23/01/2017
CRON Systems,Technology,Delhi,,Seed Funding,YourNest Fund II,23/01/2017
CueMath,Technology,Delhi,15000000.0,Private Equity,"CapitalG, Sequoia India",23/01/2017
ChipperSage,Technology,Bangalore,,Seed Funding,India Educational Investment Fund,23/01/2017
SelectJobs,Consumer Internet,Mumbai,,Seed Funding,India Educational Investment Fund,24/01/2017
Khel Now,Consumer Internet,Bangalore,500000.0,Private Equity,Indochine International,24/01/2017
NowFloats,Consumer Internet,Hyderabad,10000000.0,Private Equity,"Iron Pillar and IIFL, Blume Ventures, Omidyar Network",24/01/2017
Lets Transport,Consumer Internet,Bangalore,4000000.0,Private Equity,"GMO Japan, Neelesh Bhatnagar",24/01/2017
BetaOut,Technology,Noida,,Private Equity,East Ventures & Others,24/01/2017
Wishberry,Consumer Internet,Mumbai,,Seed Funding,"Sharad Sharma, Rajan Anandan,\\xc2\\xa0 Amit Ranjan, Alok Mittal & others",25/01/2017
RML Agtech,Technology,Pune,4000000.0,Private Equity,IvyCap Ventures,25/01/2017
LoyaltyPrime,Technology,Delhi,,Private Equity,"Senovo, Unternehmertum Venture Capital, Alexander Bruehl",25/01/2017
InstaSafe,Technology,Bangalore,2200000.0,Private Equity,ABM Knowledgeware,25/01/2017
Infibeam,eCommerce,Ahmedabad,8800000.0,Private Equity,"Bennett, Coleman and Company Ltd",25/01/2017
99Games,Technology,Udupi,,Seed Funding,Dream Incubator,02/01/2017
AirMed Labs,Consumer Internet,Ahmedabad,1400000.0,Private Equity,Brand Capital,26/01/2017
99PerHour,Consumer Internet,Chennai,300000.0,Seed Funding,V Aanand R,26/01/2017
Kochi Post,Consumer Internet,Kochi,,Seed Funding,"Rajesh Yohannan, Puthen & Cole",26/01/2017
Intuit Things,Technology,Mumbai,106000.0,Seed Funding,Sanjay Mehta & Others ( The Ten Minute Million),30/01/2017
Cloudrino,Technology,Delhi,22500.0,Seed Funding,The Ten Minute Million,30/01/2017
FabX,eCommerce,Mumbai,68000.0,Seed Funding,The Ten Minute Million,30/01/2017
Maptags,Consumer Internet,Bangalore,18000.0,Seed Funding,The Ten Minute Million,30/01/2017
YOLO Health,Consumer Internet,Mumbai,,Seed Funding,Chandigarh Angels Network (CAN),30/01/2017
Heads Up For Tails,eCommerce,Delhi,2000000.0,Private Equity,Undisclosed Investors,31/01/2017
Register My Marriage,Consumer Internet,Delhi,,Seed Funding,Mumbai Angels,31/01/2017
SidQam,Technology,Noida,1200000.0,Private Equity,"SQue Capital, Grace Capital Ventures, Soham Vencaps",01/12/2016
India Lends,Consumer Internet,Delhi,4000000.0,Private Equity,"DSG Consumer Partners, American Express Ventures, Cyber Carrier VC, AdvantEdge Partners",01/12/2016
Slide App,Consumer Internet,Delhi,3600000.0,Private Equity,Songhyun Investment,01/12/2016
Badiyajobs,Consumer Internet,Delhi,100000.0,Seed Funding,Undisclosed,02/12/2016
Streo,Consumer Internet,Bangalore,,Seed Funding,"GEMs Advisory, Quarizon",02/12/2016
TYGR,Technology,Mumbai,3000000.0,Private Equity,Franchise India,02/12/2016
Mr Hot Foods,Consumer Internet,Indore,,Seed Funding,IvyCamp Ventures,05/12/2016
UrDoorStep,eCommerce,Bangalore,1400000.0,Private Equity,Lakshmi Vilas Bank & undisclosed HNIs,05/12/2016
ONN Bikes,eCommerce,Mumbai,,Seed Funding,Grace Capital Ventures,05/12/2016
Diro Labs,Consumer Internet,Delhi,147000.0,Seed Funding,Info Edge (India),06/12/2016
THB,Technology,Gurgaon,,Seed Funding,"Ajith Sukumaran, Currae Healthtech Fund",06/12/2016
LookAtMe,Consumer Internet,Singapore,,Seed Funding,Eros Labs,07/12/2016
Netree,eCommerce,Delhi,,Seed Funding,"The Chennai Angels, LetsVenture",07/12/2016
BookEventz,Consumer Internet,Mumbai,,Seed Funding,Investors from Mumbai Angels & LetsVenture,07/12/2016
Tailslife,Consumer Internet,Bangalore,,Seed Funding,"Mohan Kumar, V. Balakrishnan",07/12/2016
Revv,Consumer Internet,Delhi,9000000.0,Private Equity,Edelweiss Private Equity,07/12/2016
WealthApp,Consumer Internet,Bangalore,440000.0,Seed Funding,"Venk Krishnan, MJ Aravind, Vikram Kotak, Jayant Davar,\\xc2\\xa0 Ramkumar Nishtal, Arjun Sharmaa",07/12/2016
Vehico,Technology,Bangalore,,Seed Funding,"Calcutta Angel Network, Appliyifi",07/12/2016
Zest Money,Consumer Internet,Mumbai,6500000.0,Private Equity,PayU,08/12/2016
GoMechanic,Consumer Internet,Gurgaon,250000.0,Seed Funding,Venture Catalysts,08/12/2016
Stalk Buy Love,eCommerce,Delhi,6000000.0,Private Equity,Kalaari Capital,09/12/2016
Nykaa,eCommerce,Mumbai,,Private Equity,Max Ventures and Industries,09/12/2016
Wittyparot,Technology,Bangalore,450000.0,Seed Funding,Mumbai Angels,09/12/2016
NeuroEquilibrium,Technology,Jaipur,250000.0,Seed Funding,Unicorn India Ventures,09/12/2016
Xseed Education,Technology,Bangalore,10000000.0,Private Equity,Verlinvest SA,12/12/2016
Rupaiya Exchange,Consumer Internet,Delhi,200000.0,Seed Funding,Undisclosed Investors,12/12/2016
Doctor Insta,Consumer Internet,Gurgaon,2000000.0,Private Equity,RoundGlass Partners,12/12/2016
Fresh Food Concepts,Food & Beverage,Delhi,2000000.0,Seed Funding,"Siddhartha Gupta, Ashvin Chadha",12/12/2016
Indifi,Consumer Internet,Gurgaon,10000000.0,Private Equity,Omidyar Network,13/12/2016
GoComet,Logistics,Mumbai,,Seed Funding,"India Quotient, Rajul Garg, Rajesh Yabaji, Chanakya Hridaya, Ramasubramaniam B, Vishwanathan, Nobel House, Sunstone Capital",13/12/2016
OfBusiness,eCommerce,Gurgaon,11100000.0,Private Equity,"Zodius Technology Opportunities Fund, Matrix Partners",13/12/2016
Fitmein,Consumer Internet,Delhi,,Seed Funding,"FiNC, GHV",14/12/2016
Qacco,Consumer Internet,Gurgaon,150000.0,Seed Funding,"Lead Angels Network, Anbu Pandian, Prabhakar MR & Others",14/12/2016
MoEngage,Technology,Bangalore,,Seed Funding,Anand Chandrasekaran,14/12/2016
Ten3t Health,Technology,Bangalore,,Seed Funding,"V. Krishna Prasad, Bhupen Shah & Others",14/12/2016
Trading Bells,Consumer Internet,Indore,297000.0,Seed Funding,Swastika Investmart Ltd,14/12/2016
SERV\\xe2\\x80\\x99D,Consumer Internet,Pune,100000.0,Seed Funding,Digital Financial Service Lab,15/12/2016
IdeaForge,Technology,Mumbai,10000000.0,Private Equity,"WRV Capital and IndusAge Partners, Infosys Innovation Fund",15/12/2016
Amagi Media Labs,Technology,Mumbai,35000000.0,Private Equity,"Emerald Media, Premji Invest",15/12/2016
Pocket Aces,Technology,Mumbai,3000000.0,Private Equity,"Sequoia Capital India, North Base Media, Aarin Capital, 3one4 Capital, Axilor Ventures, Kunal Shah, Sandeep Tandon",15/12/2016
Pi Data Centers,Technology,Hyderabad,23000000.0,Private Equity,Epsilon Venture Partners,16/12/2016
TripShelf,Consumer Internet,Delhi,123000.0,Seed Funding,"GEMS Advisory, Quarizon",16/12/2016
NoBroker,Consumer Internet,Bangalore,7400000.0,Private Equity,"KTB Network, SAIF Partners, BEENEXT, Digital Garage",19/12/2016
